Game_ID,GAME_DATE,MATCHUP,WL,PTS,player_name,home_away_flag,opponent,game_date_parsed,rolling_pts_5,rolling_min_5,rolling_fga_5,rolling_fg_pct_5,days_since_last_game,back_to_back_flag
22200033,"OCT 22, 2022",MIL vs. HOU,W,0,AJ Green,1,HOU,2022-10-22,,,,,,0
22200216,"NOV 16, 2022",MIL vs. CLE,W,3,AJ Green,1,CLE,2022-11-16,0.0,2.0,0.0,0.0,25.0,0
22200251,"NOV 21, 2022",MIL vs. POR,W,0,AJ Green,1,POR,2022-11-21,1.5,8.5,2.0,0.125,5.0,0
22200280,"NOV 25, 2022",MIL vs. CLE,W,0,AJ Green,1,CLE,2022-11-25,1.0,6.0,1.3333333333333333,0.0833333333333333,4.0,0
22200298,"NOV 27, 2022",MIL vs. DAL,W,0,AJ Green,1,DAL,2022-11-27,0.75,5.25,1.0,0.0625,2.0,0
22200316,"NOV 30, 2022",MIL @ NYK,W,0,AJ Green,0,NYK,2022-11-30,0.6,4.6,1.0,0.05,3.0,0
22200339,"DEC 03, 2022",MIL @ CHA,W,8,AJ Green,0,CHA,2022-12-03,0.6,4.2,1.0,0.05,3.0,0
22200353,"DEC 05, 2022",MIL @ ORL,W,12,AJ Green,0,ORL,2022-12-05,1.6,4.0,0.8,0.1334,2.0,0
22200369,"DEC 07, 2022",MIL vs. SAC,W,0,AJ Green,1,SAC,2022-12-07,4.0,5.8,2.0,0.2668,2.0,0
22200410,"DEC 13, 2022",MIL vs. GSW,W,2,AJ Green,1,GSW,2022-12-13,4.0,5.4,2.0,0.2668,6.0,0
22200425,"DEC 15, 2022",MIL @ MEM,L,10,AJ Green,0,MEM,2022-12-15,4.4,5.6,2.2,0.3668,2.0,0
22200442,"DEC 17, 2022",MIL vs. UTA,W,3,AJ Green,1,UTA,2022-12-17,6.4,8.4,3.4,0.5002000000000001,2.0,0
22200533,"DEC 30, 2022",MIL vs. MIN,W,7,AJ Green,1,MIN,2022-12-30,5.4,6.4,3.2,0.4668,13.0,0
22200548,"JAN 01, 2023",MIL vs. WAS,L,10,AJ Green,1,WAS,2023-01-01,4.4,8.8,3.2,0.4,2.0,0
22200561,"JAN 03, 2023",MIL vs. WAS,W,0,AJ Green,1,WAS,2023-01-03,6.4,12.4,4.6,0.5142,2.0,0
22200569,"JAN 04, 2023",MIL @ TOR,W,5,AJ Green,0,TOR,2023-01-04,6.0,13.6,4.8,0.4141999999999999,1.0,1
22200583,"JAN 06, 2023",MIL vs. CHA,L,13,AJ Green,1,CHA,2023-01-06,5.0,13.4,4.4,0.3807999999999999,2.0,0
22200620,"JAN 11, 2023",MIL @ ATL,W,3,AJ Green,0,ATL,2023-01-11,7.0,16.2,5.6,0.4058,5.0,0
22200628,"JAN 12, 2023",MIL @ MIA,L,15,AJ Green,0,MIA,2023-01-12,6.2,13.0,5.0,0.4058,1.0,1
22200641,"JAN 14, 2023",MIL @ MIA,L,9,AJ Green,0,MIA,2023-01-14,7.2,13.0,5.6,0.3916,2.0,0
22200657,"JAN 16, 2023",MIL vs. IND,W,6,AJ Green,1,IND,2023-01-16,9.0,14.6,6.4,0.4774,2.0,0
22200665,"JAN 17, 2023",MIL vs. TOR,W,0,AJ Green,1,TOR,2023-01-17,9.2,14.4,7.0,0.4346,1.0,1
22200695,"JAN 21, 2023",MIL @ CLE,L,0,AJ Green,0,CLE,2023-01-21,6.6,12.0,5.4,0.3096,4.0,0
22200706,"JAN 23, 2023",MIL @ DET,W,0,AJ Green,0,DET,2023-01-23,6.0,11.6,5.2,0.2429999999999999,2.0,0
22200845,"FEB 10, 2023",MIL @ LAC,W,0,AJ Green,0,LAC,2023-02-10,3.0,8.8,3.8,0.143,18.0,0
22200883,"FEB 16, 2023",MIL @ CHI,W,15,AJ Green,0,CHI,2023-02-16,1.2,5.8,2.4,0.0571999999999999,6.0,0
22200897,"FEB 24, 2023",MIL vs. MIA,W,6,AJ Green,1,MIA,2023-02-24,3.0,8.0,2.6,0.125,8.0,0
22200924,"FEB 28, 2023",MIL @ BKN,W,0,AJ Green,0,BKN,2023-02-28,4.2,10.6,3.8,0.1916,4.0,0
22200939,"MAR 01, 2023",MIL vs. ORL,W,12,AJ Green,1,ORL,2023-03-01,4.2,10.4,3.6,0.1916,1.0,1
22200973,"MAR 05, 2023",MIL @ WAS,W,0,AJ Green,0,WAS,2023-03-05,6.6,12.8,4.4,0.3057999999999999,4.0,0
22201033,"MAR 14, 2023",MIL @ PHX,W,0,AJ Green,0,PHX,2023-03-14,6.6,13.6,4.8,0.3057999999999999,9.0,0
22201045,"MAR 16, 2023",MIL vs. IND,L,0,AJ Green,1,IND,2023-03-16,3.6,10.0,3.2,0.1808,2.0,0
22201136,"MAR 29, 2023",MIL @ IND,W,9,AJ Green,0,IND,2023-03-29,2.4,7.8,2.2,0.1142,13.0,0
22201193,"APR 05, 2023",MIL vs. CHI,W,0,AJ Green,1,CHI,2023-04-05,4.2,10.8,3.4,0.2,7.0,0
22201208,"APR 07, 2023",MIL vs. MEM,L,6,AJ Green,1,MEM,2023-04-07,1.8,9.4,2.6,0.0858,2.0,0
